;;;;;kV;;;;;kV;A;A;;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;%;;MW;MVar;A;%;
string;string;string;string;string;double;string;string;string;string;double;double;double;string;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;double;string;double;double;double;double;
Trafo_17_par;;Netzgruppe_Default;Standort_17;1;10.0;; Netzgruppe_Default; Standort_17; 1;0.4;;;1;;0.5;0.0;30.5;83.8;0;0;0;0;;0.5;0.0;30.5;83.8;0;0;0;0;;0.5;0.0;30.5;83.8;0;0;0;0;0;;0;0;0;0;
L_50R_16;;Netzgruppe_Default;Standort_50;1;10.0;; Netzgruppe_Default; Standort_0; 1;10.0;319.0;319.0;1;;-1.1;-0.0;64.4;20.2;0;0;0;0;;-1.1;-0.0;64.4;20.2;0;0;0;0;;-1.1;-0.0;64.4;20.2;0;0;0;0;0;;0;0;0;0;
Trafo_50;;Netzgruppe_Default;Standort_50;1;10.0;; Netzgruppe_Default; Standort_50; 1;0.4;;;1;;0.3;0.0;17.5;48.0;0;0;0;0;;0.3;0.0;17.5;48.0;0;0;0;0;;0.3;0.0;17.5;48.0;0;0;0;0;0;;0;0;0;0;
Trafo_50_par;;Netzgruppe_Default;Standort_50;1;10.0;; Netzgruppe_Default; Standort_50; 1;0.4;;;1;;0.3;0.0;17.5;48.0;0;0;0;0;;0.3;0.0;17.5;48.0;0;0;0;0;;0.3;0.0;17.5;48.0;0;0;0;0;0;;0;0;0;0;
L_93R_16;;Netzgruppe_Default;Standort_93;1;10.0;; Netzgruppe_Default; Standort_50; 1;10.0;319.0;319.0;1;;-0.5;-0.0;29.4;9.2;0;0;0;0;;-0.5;-0.0;29.4;9.2;0;0;0;0;;-0.5;-0.0;29.4;9.2;0;0;0;0;0;;0;0;0;0;
Trafo_93;;Netzgruppe_Default;Standort_93;1;10.0;; Netzgruppe_Default; Standort_93; 1;0.4;;;1;;0.1;0.0;3.8;66.4;0;0;0;0;;0.1;0.0;3.8;66.4;0;0;0;0;;0.1;0.0;3.8;66.4;0;0;0;0;0;;0;0;0;0;
Trafo_93_par;;Netzgruppe_Default;Standort_93;1;10.0;; Netzgruppe_Default; Standort_93; 1;0.4;;;1;;0.1;0.0;3.8;66.4;0;0;0;0;;0.1;0.0;3.8;66.4;0;0;0;0;;0.1;0.0;3.8;66.4;0;0;0;0;0;;0;0;0;0;
L_109R_16;;Netzgruppe_Default;Standort_109;1;10.0;; Netzgruppe_Default; Standort_93; 1;10.0;319.0;319.0;1;;-0.4;-0.0;21.8;6.8;0;0;0;0;;-0.4;-0.0;21.8;6.8;0;0;0;0;;-0.4;-0.0;21.8;6.8;0;0;0;0;0;;0;0;0;0;
Trafo_109;;Netzgruppe_Default;Standort_109;1;10.0;; Netzgruppe_Default; Standort_109; 1;0.4;;;1;;0.0;0.0;1.4;23.4;0;0;0;0;;0.0;0.0;1.4;23.4;0;0;0;0;;0.0;0.0;1.4;23.4;0;0;0;0;0;;0;0;0;0;
Trafo_109_par;;Netzgruppe_Default;Standort_109;1;10.0;; Netzgruppe_Default; Standort_109; 1;0.4;;;1;;0.0;0.0;1.4;23.4;0;0;0;0;;0.0;0.0;1.4;23.4;0;0;0;0;;0.0;0.0;1.4;23.4;0;0;0;0;0;;0;0;0;0;
