Name;Fuel Type;ISO Code;Country Code;Location;Node;Un;min. P;max. P
k114dea0_20724_solar;;;Netzgruppe_Default;Standort_116;1;10;0;2
k115n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_118;1;0.4;0;2
k115n0h0_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_118;1;0.4;0;2
k115n0h2_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_118;1;0.4;0;2
k115n0h3_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_118;1;0.4;0;2
k12dea0_13407_wea;;;Netzgruppe_Default;Standort_12;1;10;0;2
k116dea0_13450_wea;;;Netzgruppe_Default;Standort_122;1;10;0;2
k117dea0_11254_solar;;;Netzgruppe_Default;Standort_129;1;10;0;2
k13n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h2_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h6_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h9_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h20_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h27_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h38_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h41_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h46_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h47_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k13n0h47_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_13;1;0.4;0;2
k118dea0_20391_solar;;;Netzgruppe_Default;Standort_137;1;10;0;2
k14n0h14_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_14;1;0.4;0;2
k14n0h60_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_14;1;0.4;0;2
k119dea0_20472_solar;;;Netzgruppe_Default;Standort_141;1;10;0;2
k120dea0_17461_solar;;;Netzgruppe_Default;Standort_148;1;10;0;2
k15dea0_13266_wea;;;Netzgruppe_Default;Standort_15;1;10;0;2
k121dea0_20813_solar;;;Netzgruppe_Default;Standort_152;1;10;0;2
k122dea0_16891_solar;;;Netzgruppe_Default;Standort_153;1;10;0;2
k123dea0_13358_wea;;;Netzgruppe_Default;Standort_158;1;10;0;2
k124dea0_1353799_solar;;;Netzgruppe_Default;Standort_159;1;10;0;2
k16n0h2_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_16;1;0.4;0;2
k16n0h5_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_16;1;0.4;0;2
k16n0h6_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_16;1;0.4;0;2
k16n0h7_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_16;1;0.4;0;2
k125dea0_1023372_solar;;;Netzgruppe_Default;Standort_162;1;10;0;2
k126dea0_1353832_solar;;;Netzgruppe_Default;Standort_168;1;10;0;2
k17n0h24_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_17;1;0.4;0;2
k127dea0_18575_solar;;;Netzgruppe_Default;Standort_170;1;10;0;2
k18n0h2_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_18;1;0.4;0;2
k18n0h7_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_18;1;0.4;0;2
k18n0h13_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_18;1;0.4;0;2
k18n0h13_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_18;1;0.4;0;2
k18n0h29_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_18;1;0.4;0;2
k18n0h39_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_18;1;0.4;0;2
k128dea0_20814_solar;;;Netzgruppe_Default;Standort_181;1;10;0;2
k129dea0_13596_wea;;;Netzgruppe_Default;Standort_183;1;10;0;2
k130dea0_13315_wea;;;Netzgruppe_Default;Standort_184;1;10;0;2
k19n0h3_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_19;1;0.4;0;2
k19n0h6_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_19;1;0.4;0;2
k19n0h35_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_19;1;0.4;0;2
k19n0h45_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_19;1;0.4;0;2
k131dea0_17731_solar;;;Netzgruppe_Default;Standort_196;1;10;0;2
k132dea0_18446_solar;;;Netzgruppe_Default;Standort_198;1;10;0;2
k20dea0_11529_biomasse;;;Netzgruppe_Default;Standort_20;1;10;0;2
k133dea0_16804_solar;;;Netzgruppe_Default;Standort_203;1;10;0;2
k134dea0_13409_wea;;;Netzgruppe_Default;Standort_205;1;10;0;2
k135dea0_13319_wea;;;Netzgruppe_Default;Standort_206;1;10;0;2
k21n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_21;1;0.4;0;2
k21n0h0_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_21;1;0.4;0;2
k21n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_21;1;0.4;0;2
k22dea0_16988_solar;;;Netzgruppe_Default;Standort_22;1;10;0;2
k136dea0_1351664_solar;;;Netzgruppe_Default;Standort_223;1;10;0;2
k137dea0_13478_wea;;;Netzgruppe_Default;Standort_227;1;10;0;2
k23n0h29_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_23;1;0.4;0;2
k23n0h34_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_23;1;0.4;0;2
k138dea0_13364_wea;;;Netzgruppe_Default;Standort_232;1;10;0;2
k139dea0_13441_wea;;;Netzgruppe_Default;Standort_233;1;10;0;2
k140dea0_13381_wea;;;Netzgruppe_Default;Standort_234;1;10;0;2
k24n0h3_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_24;1;0.4;0;2
k24n0h16_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_24;1;0.4;0;2
k24n0h21_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_24;1;0.4;0;2
k24n0h74_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_24;1;0.4;0;2
k141dea0_1023374_solar;;;Netzgruppe_Default;Standort_240;1;10;0;2
k142dea0_13320_wea;;;Netzgruppe_Default;Standort_242;1;10;0;2
k143dea0_13371_wea;;;Netzgruppe_Default;Standort_243;1;10;0;2
k144dea0_13265_wea;;;Netzgruppe_Default;Standort_244;1;10;0;2
k25n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_25;1;0.4;0;2
k25n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_25;1;0.4;0;2
k26n0h9_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_26;1;0.4;0;2
k26n0h9_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_26;1;0.4;0;2
k26n0h20_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_26;1;0.4;0;2
k26n0h38_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_26;1;0.4;0;2
k26n0h43_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_26;1;0.4;0;2
k26n0h43_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_26;1;0.4;0;2
k26n0h46_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_26;1;0.4;0;2
k145dea0_13495_wea;;;Netzgruppe_Default;Standort_261;1;10;0;2
k146dea0_13365_wea;;;Netzgruppe_Default;Standort_266;1;10;0;2
k27dea0_20508_solar;;;Netzgruppe_Default;Standort_27;1;10;0;2
k147dea0_13382_wea;;;Netzgruppe_Default;Standort_270;1;10;0;2
k148dea0_13476_wea;;;Netzgruppe_Default;Standort_273;1;10;0;2
k149dea0_13359_wea;;;Netzgruppe_Default;Standort_275;1;10;0;2
k150dea0_1024303_wea;;;Netzgruppe_Default;Standort_276;1;10;0;2
k28n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_28;1;0.4;0;2
k28n0h4_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_28;1;0.4;0;2
k28n0h8_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_28;1;0.4;0;2
k28n0h9_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_28;1;0.4;0;2
k28n0h9_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_28;1;0.4;0;2
k28n0h10_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_28;1;0.4;0;2
k151dea0_13263_wea;;;Netzgruppe_Default;Standort_287;1;10;0;2
k29n0h9_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_29;1;0.4;0;2
k29n0h11_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_29;1;0.4;0;2
k29n0h14_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_29;1;0.4;0;2
k29n0h25_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_29;1;0.4;0;2
k29n0h25_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_29;1;0.4;0;2
k29n0h33_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_29;1;0.4;0;2
k29n0h35_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_29;1;0.4;0;2
k153dea0_13369_wea;;;Netzgruppe_Default;Standort_291;1;10;0;2
k154dea0_13477_wea;;;Netzgruppe_Default;Standort_292;1;10;0;2
k155dea0_13479_wea;;;Netzgruppe_Default;Standort_295;1;10;0;2
k156dea0_1024298_wea;;;Netzgruppe_Default;Standort_296;1;10;0;2
k157dea0_1024302_wea;;;Netzgruppe_Default;Standort_297;1;10;0;2
k158dea0_13322_wea;;;Netzgruppe_Default;Standort_299;1;10;0;2
k30n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_30;1;0.4;0;2
k30n0h2_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_30;1;0.4;0;2
k159dea0_1024307_wea;;;Netzgruppe_Default;Standort_317;1;10;0;2
k32dea0_1351674_solar;;;Netzgruppe_Default;Standort_32;1;10;0;2
k160dea0_13348_wea;;;Netzgruppe_Default;Standort_325;1;10;0;2
k161dea0_1024299_wea;;;Netzgruppe_Default;Standort_327;1;10;0;2
k162dea0_1024300_wea;;;Netzgruppe_Default;Standort_328;1;10;0;2
k33n0h8_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_33;1;0.4;0;2
k33n0h9_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_33;1;0.4;0;2
k33n0h10_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_33;1;0.4;0;2
k33n0h11_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_33;1;0.4;0;2
k33n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_33;1;0.4;0;2
k33n0h14_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_33;1;0.4;0;2
k33n0h16_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_33;1;0.4;0;2
k163dea0_13316_wea;;;Netzgruppe_Default;Standort_337;1;10;0;2
k164dea0_13368_wea;;;Netzgruppe_Default;Standort_339;1;10;0;2
k34dea0_16883_solar;;;Netzgruppe_Default;Standort_34;1;10;0;2
k165dea0_1245119_wea;;;Netzgruppe_Default;Standort_340;1;10;0;2
k166dea0_1023353_wea;;;Netzgruppe_Default;Standort_341;1;10;0;2
k167dea0_1024308_wea;;;Netzgruppe_Default;Standort_350;1;10;0;2
k36n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_36;1;0.4;0;2
k36n0h2_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_36;1;0.4;0;2
k36n0h7_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_36;1;0.4;0;2
k36n0h18_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_36;1;0.4;0;2
k36n0h19_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_36;1;0.4;0;2
k36n0h19_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_36;1;0.4;0;2
k36n0h31_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_36;1;0.4;0;2
k37dea0_13264_wea;;;Netzgruppe_Default;Standort_37;1;10;0;2
k38n0h15_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_38;1;0.4;0;2
k38n0h37_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_38;1;0.4;0;2
k38n0h41_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_38;1;0.4;0;2
k4n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_4;1;0.4;0;2
k4n0h18_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_4;1;0.4;0;2
k40dea0_1024305_wea;;;Netzgruppe_Default;Standort_40;1;10;0;2
k41n0h15_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_41;1;0.4;0;2
k41n0h19_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_41;1;0.4;0;2
k41n0h20_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_41;1;0.4;0;2
k41n0h22_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_41;1;0.4;0;2
k41n0h22_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_41;1;0.4;0;2
k42n0h19_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_42;1;0.4;0;2
k42n0h53_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_42;1;0.4;0;2
k42n0h53_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_42;1;0.4;0;2
k43n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k43n0h3_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k43n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k43n0h17_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k43n0h34_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k43n0h40_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k43n0h44_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k43n0h44_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_43;1;0.4;0;2
k44n0h2_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_44;1;0.4;0;2
k44n0h3_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_44;1;0.4;0;2
k45dea0_13310_wea;;;Netzgruppe_Default;Standort_45;1;10;0;2
k46n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_46;1;0.4;0;2
k46n0h5_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_46;1;0.4;0;2
k46n0h6_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_46;1;0.4;0;2
k47n0h3_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_47;1;0.4;0;2
k47n0h4_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_47;1;0.4;0;2
k47n0h11_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_47;1;0.4;0;2
k47n0h14_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_47;1;0.4;0;2
k47n0h15_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_47;1;0.4;0;2
k48n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_48;1;0.4;0;2
k48n0h4_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_48;1;0.4;0;2
k48n0h5_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_48;1;0.4;0;2
k48n0h7_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_48;1;0.4;0;2
k49n0h18_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_49;1;0.4;0;2
k49n0h33_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_49;1;0.4;0;2
k49n0h37_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_49;1;0.4;0;2
k5n0h22_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_5;1;0.4;0;2
k5n0h30_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_5;1;0.4;0;2
k5n0h40_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_5;1;0.4;0;2
k5n0h45_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_5;1;0.4;0;2
k50n0h25_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_50;1;0.4;0;2
k50n0h38_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_50;1;0.4;0;2
k50n0h46_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_50;1;0.4;0;2
k50n0h46_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_50;1;0.4;0;2
k50n0h50_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_50;1;0.4;0;2
k51n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_51;1;0.4;0;2
k51n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_51;1;0.4;0;2
k51n0h15_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_51;1;0.4;0;2
k52dea0_13496_wea;;;Netzgruppe_Default;Standort_52;1;10;0;2
k53dea0_1245117_wea;;;Netzgruppe_Default;Standort_53;1;10;0;2
k55n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_55;1;0.4;0;2
k55n0h21_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_55;1;0.4;0;2
k55n0h30_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_55;1;0.4;0;2
k55n0h34_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_55;1;0.4;0;2
k55n0h34_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_55;1;0.4;0;2
k55n0h39_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_55;1;0.4;0;2
k55n0h39_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_55;1;0.4;0;2
k56n0h4_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_56;1;0.4;0;2
k56n0h7_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_56;1;0.4;0;2
k56n0h9_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_56;1;0.4;0;2
k56n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_56;1;0.4;0;2
k56n0h13_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_56;1;0.4;0;2
k57dea0_18359_solar;;;Netzgruppe_Default;Standort_57;1;10;0;2
k57n0h5_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_57;1;0.4;0;2
k57n0h11_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_57;1;0.4;0;2
k57n0h15_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_57;1;0.4;0;2
k57n0h16_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_57;1;0.4;0;2
k57n0h24_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_57;1;0.4;0;2
k57n0h25_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_57;1;0.4;0;2
k59dea0_1353824_solar;;;Netzgruppe_Default;Standort_59;1;10;0;2
k6n0h11_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_6;1;0.4;0;2
k6n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_6;1;0.4;0;2
k6n0h17_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_6;1;0.4;0;2
k6n0h19_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_6;1;0.4;0;2
k6n0h22_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_6;1;0.4;0;2
k6n0h26_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_6;1;0.4;0;2
k60n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_60;1;0.4;0;2
k60n0h21_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_60;1;0.4;0;2
k60n0h23_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_60;1;0.4;0;2
k61n0h8_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_61;1;0.4;0;2
k61n0h8_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_61;1;0.4;0;2
k61n0h37_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_61;1;0.4;0;2
k61n0h49_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_61;1;0.4;0;2
k61n0h55_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_61;1;0.4;0;2
k61n0h58_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_61;1;0.4;0;2
k63n0h11_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_63;1;0.4;0;2
k63n0h12_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_63;1;0.4;0;2
